,batch_size,dni_rmse,dropout,epochs,lag,loss,model_filename,params,r2,rmse,time_ran,tts_year,notes
13,1,217.8531189746384,0.33,10,18,"{'val_loss': [0.058219724905899606, 0.05810490630863983, 0.05771907523722489, 0.05419091178134186, 0.052440992953111845, 0.05043442132932219, 0.050233898805810105, 0.0513849392362733, 0.05035416328704782, 0.04924408524286429], 'loss': [0.0664452123766272, 0.05996667446110608, 0.05875638239018351, 0.05690685156684229, 0.05444805825376141, 0.05260316043659816, 0.05234617764695837, 0.05181189759207598, 0.05075409962720319, 0.05093850730002852]}",1539889693_model_18_lag.h5,"{'batch_size': 1, 'epochs': 10, 'steps': None, 'samples': 5986, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-0.31131246248308786,0.2219100837488619,1539889695.0,2013,4h resampling
14,1,220.78096652682805,0.33,10,42,"{'val_loss': [0.06029442484134387, 0.05900727834385508, 0.05530829321309661, 0.052036653665287924, 0.05136395992159989, 0.05199709712297735, 0.05054550641009076, 0.05100913545170892, 0.05062153764038741, 0.050576616331515584], 'loss': [0.06768205785532949, 0.06150463507152572, 0.05897397832073438, 0.057001770321047716, 0.05448486198159251, 0.05393004694574493, 0.05275359332651462, 0.05262626664622038, 0.05182125987515514, 0.051548344549635756]}",1539889972_model_42_lag.h5,"{'batch_size': 1, 'epochs': 10, 'steps': None, 'samples': 5962, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-0.056875904480175876,0.22489245507578312,1539889975.0,2013,4h resampling
15,1,251.57944352870567,0.33,10,168,"{'val_loss': [0.06676065955466404, 0.06297500808844975, 0.06266945343335276, 0.06324452712373056, 0.06297802034666937, 0.061996234120684536, 0.06153633473323088, 0.060380886932280574, 0.06004374637908151, 0.05935502115236765], 'loss': [0.063340035190808, 0.05939784727926015, 0.057451853331107895, 0.0563935246245762, 0.05576085947397318, 0.055108525962414896, 0.054388792019773854, 0.05352152928900459, 0.05302503507187115, 0.05217997540318227]}",1539900828_model_168_lag.h5,"{'batch_size': 1, 'epochs': 10, 'steps': None, 'samples': 23848, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-0.21798716979451602,0.2436288593332252,1539900832.0,2013,20m resampling
16,1,110.83507046852469,0.3,10,1,"{'val_loss': [0.0601427693839164, 0.054676024747630204, 0.0528549762670521, 0.051711999218272346, 0.050762740393833064, 0.04818104212869422, 0.04622624653384308, 0.04511223478846599, 0.04456062942812312, 0.04422176397713582], 'loss': [0.12128760655944029, 0.06930587189686638, 0.06457895431493701, 0.06261185133831705, 0.06128969014563075, 0.05859075100216012, 0.05673703023222473, 0.05444114550196942, 0.05207297078216237, 0.051049724993287984]}",1539901387_model_1_lag.h5,"{'batch_size': 1, 'epochs': 10, 'steps': None, 'samples': 634, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-4.3858985788268035,0.2102897151502452,1539901389.0,2012,1d resample
17,1,121.7743488298527,0.3,10,7,"{'val_loss': [0.056985560357403736, 0.05501713521613307, 0.053587880973085276, 0.05371830503361953, 0.05279455942765729, 0.053391016331980796, 0.053331845716555505, 0.05314202857671816, 0.05354626081721486, 0.05338181000511449], 'loss': [0.08064304681666362, 0.0726050368164696, 0.06980804659569098, 0.06963152322705181, 0.06435136864610384, 0.06459224350823721, 0.06352267100679082, 0.06316748609822796, 0.06293193761257347, 0.06242706085398842]}",1539901420_model_7_lag.h5,"{'batch_size': 1, 'epochs': 10, 'steps': None, 'samples': 628, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-34.29291862065528,0.2310450385404729,1539901423.0,2012,1d resample
18,1,123.2407807981702,0.3,10,30,"{'val_loss': [0.05891409007550427, 0.05895079779846205, 0.057089568929937766, 0.05778369177011145, 0.05780276324631171, 0.05557881981322053, 0.0554986036605311, 0.05586775193604982, 0.05504632916649242, 0.05467522050048827], 'loss': [0.07616308300994826, 0.06687523837413924, 0.06689098941466577, 0.06444708804096042, 0.06616310040874779, 0.06503418152571593, 0.06562116309336001, 0.06519899134710781, 0.06442866702794647, 0.062120466819349976]}",1539901455_model_30_lag.h5,"{'batch_size': 1, 'epochs': 10, 'steps': None, 'samples': 605, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-145.60025684832638,0.2338273308203544,1539901457.0,2012,1d resample
19,24,209.7952022569212,0.3,10,48,"{'val_loss': [0.04478426357989843, 0.043335489424458584, 0.04257912189698133, 0.042205740476735906, 0.04200281591023518, 0.04175115517902456, 0.04174638070515735, 0.04120522731969751, 0.04122411568159896, 0.04106166777488791], 'loss': [0.060036128899205024, 0.04876738871817408, 0.04804284262658681, 0.04774762088877747, 0.04719029471007046, 0.04695282774780955, 0.046648441500378154, 0.046657120143378375, 0.04646233151400498, 0.04612024493634376]}",1539902151_model_48_lag.h5,"{'batch_size': 24, 'epochs': 10, 'steps': None, 'samples': 30415, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",0.4838442487348136,0.2026367875541861,1539902156.0,2012,30m resample
20,24,264.7844404648803,0.3,10,336,"{'val_loss': [0.07115563879104146, 0.06887212762138929, 0.06826660854678064, 0.06838606452261596, 0.06865061427979344, 0.06853620648429169, 0.06794785414300691, 0.06720590748958483, 0.06659566185183713, 0.06540792930962054], 'loss': [0.06949488329022581, 0.06335810599824361, 0.06181225607882164, 0.060845398849329733, 0.06013208127115308, 0.0593738401805493, 0.05896393547578855, 0.05842762843516648, 0.05779231666203134, 0.05737175745886453]}",1539902818_model_336_lag.h5,"{'batch_size': 24, 'epochs': 10, 'steps': None, 'samples': 30127, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",0.3630685136171691,0.2557497399031484,1539902840.0,2012,30m resample
21,12,214.43715352451792,0.3,10,96,"{'val_loss': [0.04396318000442991, 0.044773910286241704, 0.0459319263249754, 0.04600154554976931, 0.0465477467963014, 0.04616488718398935, 0.046033786883831376, 0.0460309973554486, 0.04581155853084181, 0.045414210233191275], 'loss': [0.05352858135752286, 0.049411604449375875, 0.04847354646220413, 0.04760176931751893, 0.047159372200594143, 0.046796898753781103, 0.04650029659558511, 0.0462945772560235, 0.04614102190111605, 0.04597593051399867]}",1539904618_model_96_lag.h5,"{'batch_size': 12, 'epochs': 10, 'steps': None, 'samples': 60829, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",0.5078082996406819,0.20709268063663325,1539904627.0,2012,30m resample
22,12,273.6700222644906,0.3,10,672,"{'val_loss': [0.061821492025508316, 0.06715392211253163, 0.07841578653663248, 0.08212794558622402, 0.08125132429269744, 0.07971232221916287, 0.07656777063809993, 0.07366276370639124, 0.07088501309841831, 0.07060679922019306], 'loss': [0.06067755256337565, 0.05785988242913741, 0.05605414005524576, 0.05538030697750939, 0.05525174043378819, 0.05512639299552155, 0.054852755509065654, 0.054812586102498805, 0.054674981930417185, 0.05455514384170698]}",1539911055_model_672_lag.h5,"{'batch_size': 12, 'epochs': 10, 'steps': None, 'samples': 60253, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",0.3637895544109323,0.26429682351738765,1539911175.0,2012,30m resample
